date,nav,fund_code
2016-12-01,45.8352,AAXJ
2017-01-01,49.7948,AAXJ
2017-02-01,51.1707,AAXJ
2017-03-01,53.129,AAXJ
2017-04-01,54.2011,AAXJ
2017-05-01,56.3536,AAXJ
2017-06-01,56.936,AAXJ
2017-07-01,60.0513,AAXJ
2017-08-01,61.094,AAXJ
2017-09-01,61.2212,AAXJ
2017-10-01,63.8406,AAXJ
2017-11-01,64.1118,AAXJ
2017-12-01,64.6628,AAXJ
2018-01-01,70.4713,AAXJ
2018-02-01,66.1282,AAXJ
2018-03-01,66.809,AAXJ
2018-04-01,65.706,AAXJ
2018-05-01,65.4905,AAXJ
2018-06-01,61.7593,AAXJ
2018-07-01,63.2935,AAXJ
2018-08-01,61.8899,AAXJ
2018-09-01,61.1794,AAXJ
2018-10-01,54.5771,AAXJ
2018-11-01,57.8523,AAXJ
2018-12-01,55.045,AAXJ
2019-01-01,60.64,AAXJ
2019-02-01,60.8773,AAXJ
2019-03-01,62.1432,AAXJ
2019-04-01,63.5234,AAXJ
2019-05-01,57.8708,AAXJ
2019-06-01,61.352,AAXJ
2019-07-01,60.0266,AAXJ
2019-08-01,57.7444,AAXJ
2019-09-01,58.6644,AAXJ
2019-10-01,61.3004,AAXJ
2019-11-01,61.61,AAXJ
2019-12-01,65.0155,AAXJ
2020-01-01,61.7151,AAXJ
2020-02-01,61.2402,AAXJ
2020-03-01,53.5157,AAXJ
2020-04-01,57.3421,AAXJ
2020-05-01,57.9514,AAXJ
2020-06-01,61.9839,AAXJ
2020-07-01,67.3242,AAXJ
2020-08-01,69.951,AAXJ
2020-09-01,69.4203,AAXJ
2020-10-01,70.7067,AAXJ
2020-11-01,76.428,AAXJ
2020-12-01,80.611,AAXJ
2021-01-01,84.7911,AAXJ
2021-02-01,85.8156,AAXJ
2021-03-01,84.0114,AAXJ
2021-04-01,84.9362,AAXJ
2021-05-01,85.5255,AAXJ
2021-06-01,85.6796,AAXJ
2021-07-01,79.8416,AAXJ
2021-08-01,80.7146,AAXJ
2021-09-01,77.2317,AAXJ
2021-10-01,78.4867,AAXJ
2021-11-01,75.7404,AAXJ
2021-12-01,75.2039,AAXJ
2022-01-01,75.6185,AAXJ
2022-02-01,72.8123,AAXJ
2022-03-01,69.4875,AAXJ
2022-04-01,65.6811,AAXJ
2022-05-01,66.3942,AAXJ
2022-06-01,64.0882,AAXJ
2022-07-01,63.2697,AAXJ
2022-08-01,62.302,AAXJ
2022-09-01,54.4584,AAXJ
2022-10-01,51.6485,AAXJ
2022-11-01,62.0601,AAXJ
2022-12-01,60.283,AAXJ
2023-01-01,66.7576,AAXJ
2023-02-01,61.6449,AAXJ
2023-03-01,63.9047,AAXJ
2023-04-01,62.8124,AAXJ
2023-05-01,61.0235,AAXJ
2023-06-01,62.5582,AAXJ
2023-07-01,66.803,AAXJ
2023-08-01,62.1145,AAXJ
2023-09-01,60.1445,AAXJ
2023-10-01,58.1649,AAXJ
2023-11-01,61.9535,AAXJ
2023-12-01,63.0522,AAXJ
2024-01-01,60.7324,AAXJ
2024-02-01,63.4391,AAXJ
2024-03-01,65.2597,AAXJ
2024-04-01,65.6353,AAXJ
2024-05-01,67.5714,AAXJ
2024-06-01,69.3342,AAXJ
2024-07-01,69.8723,AAXJ
2024-08-01,70.5878,AAXJ
2024-09-01,75.8473,AAXJ
2024-10-01,73.4206,AAXJ
2024-11-01,71.7383,AAXJ
2024-12-01,69.7853,AAXJ
2025-01-01,71.2701,AAXJ
2025-02-01,72.2608,AAXJ
2025-03-01,72.5845,AAXJ
2025-04-01,72.3981,AAXJ
2025-05-01,75.9685,AAXJ
2025-06-01,81.0396,AAXJ
2025-07-01,82.6822,AAXJ
2025-08-01,84.8157,AAXJ
2025-09-01,90.1,AAXJ
2025-10-01,93.6064,AAXJ
2025-11-01,91.5224,AAXJ
2025-12-01,91.9767,AAXJ
2026-01-01,100.29,AAXJ
2026-02-01,106.6,AAXJ
2026-03-01,96.29,AAXJ
2026-04-01,107.52,AAXJ
